Stock,Avg_Close_Q1_2025
AAPL,233.66450291053923
MSFT,410.69936355890013
AMZN,220.35460797478171
GOOGL,184.41178505093444
TSLA,345.95899873621323
NVDA,128.75176852357154
META,652.9550446155024
V,337.1726044299556
IBM,243.3285103592218
GS,606.1078036439185
NFLX,949.0617615942862
DIS,108.80558851653454
SPY,591.5452940697763
BA,172.44960740033318
PYPL,79.46107871859681
GOOG,186.12765113980163
UNH,508.6418648514093
JNJ,154.58385572246476
PG,167.2890271953508
JPM,256.6122909246707
MA,544.3802526137408
CVX,153.91745054955575
ABBV,191.90344776826745
KO,65.80532216090782
TMO,546.1962800867417
MRK,93.04955575980392
CSCO,61.634215560613896
CMCSA,35.92306540994083
T,24.71167055765788
VZ,41.09595265107996
NKE,74.4546713735543
ORCL,165.21682559742646
LLY,830.3338060566024
HON,214.40216991948145
MCD,296.1199945188036
ABT,126.98995941760494
DHR,219.7947052600337
MDT,89.46901972153607
COST,983.7316439759497
AMGN,291.2312825520833
TXN,187.69330043418734
UPS,119.69822992063037
RTX,125.13551525041169
BMY,57.955490187102676
LIN,446.994431439568
UNP,240.65301573510263
CAT,359.25283274931064
MS,130.02270881802428
BLK,979.3045797909008
SPGI,511.4712805654488
